Gene	Chromosome	Start	End	Canonical
TRIM13	13	50575241	50587300	NM_213590
PRMT1	19	50180537	50191502	NM_001536
LYRM2	6	90346991	90348435	NM_020466
NDRG4	16	58498334	58545480	NM_001130487
OR2V2	5	180581942	180582890	NM_206880
NHSL1	6	138745217	138893048	NM_020464
SLC13A3	20	45188660	45280060	NM_001011554
ASTN2	9	119187868	120177216	NM_014010
OSTN	3	190930321	190967910	NM_198184
UBE2L6	11	57319830	57335084	NM_198183
GRHL1	2	10091962	10140835	NM_198182
GOLGA6L9	15	82722284	83105136	NM_198181
CLEC1A	12	10223931	10251521	NM_016511
SCLY	2	238969671	239006996	NM_016510
GPR85	7	112723663	112724776	NM_001146265
STAU2	8	74333606	74650536	NM_001164384
ASIC1	12	50452549	50475432	NM_020039
PDIA3	15	44038737	44063416	NM_005313
POLRMT	19	617273	633512	NM_005035
WRB	21	40752310	40768865	NM_004627
CDH18	5	19473334	19839095	NM_004934
COMMD3	10	22605346	22608927	NM_012071
ATP1B4	X	119496023	119513489	NM_001142447
TIGD5	8	144680073	144682002	NM_032862
TSG101	11	18502092	18548363	NM_006292
MOGS	2	74688401	74692374	NM_006302
TNFAIP2	14	103592794	103601697	NM_006291
LINGO2	9	27948848	27950669	NM_152570
TMEM219	16	29974464	29982866	NM_001083613
ELMSAN1	14	74186003	74206711	NM_194278
LIN54	4	83849254	83905997	NM_194282
ZNF683	1	26688141	26695062	NM_001114759
PRR20B	13	57715438	57743404	NM_001130404
IFI27	14	94578028	94582864	NM_005532
CLP1	11	57426948	57428908	NM_006831
P4HA1	10	74767979	74834641	NM_001142595
AURKA	20	54945213	54963253	NM_198433
USP1	1	62905538	62916652	NM_003368
SGOL2	2	201397698	201448187	NM_152524
ST6GALNAC3	1	76540551	77094491	NM_152996
NRG1	8	31497500	32621920	NM_013960
TNRC6B	22	40521821	40719245	NM_001162501
GPC3	X	132670151	133119476	NM_001164617
PGPEP1L	15	99511706	99544436	NM_001167902
UTS2R	17	80332200	80333370	NM_018949
TEAD3	6	35442820	35454439	NM_003214
TEC	4	48139432	48230631	NM_003215
TEF	22	41763536	41791964	NM_003216
PCDHB4	5	140501580	140503968	NM_018938
PCDHB3	5	140480233	140482624	NM_018937
EXOSC4	8	145133631	145135504	NM_019037
HMGCLL1	6	55300459	55443853	NM_019036
PCDHB2	5	140474374	140476771	NM_018936
NFATC1	18	77156224	77287577	NM_006162
SAP130	2	128699579	128784737	NM_001145928
OR3A2	17	3181263	3182229	NM_002551
OR3A1	17	3194928	3195876	NM_002550
OR1D2	17	2995351	2996290	NM_002548
OPHN1	X	67268265	67652862	NM_002547
PPP1R8	1	28157346	28176957	NM_138558
SCAMP5	15	75304180	75311324	NM_001178111
FAM109A	12	111800481	111803370	NM_001177996
CD8B	2	87042729	87088988	NM_004931
ZFX	X	24190859	24229493	NM_001178085
CASR	3	121973036	122004038	NM_001178065
C2	6	31868843	31913134	NM_000063
