Chromosome	Start	End	Gene	Canonical
1	201283451	201332993	PKP1	NM_000299
1	67092165	67134970	C1orf141	NM_001276352
1	8352403	8817640	RERE	NM_012102
1	33513997	34165230	CSMD2	NM_001281956
1	75204474	75616163	SLC44A5	NM_001320283
1	83865023	83999132	TTLL7	NM_001350214
1	117367448	117528870	MAN1A2	NM_006699
1	92246401	92298987	GLMN	NM_053274
1	167721981	167791919	MPZL1	NM_003953
1	175944830	176207286	COP1	NM_022457
1	150982291	150995633	ANXA9	NM_003568
1	184387028	184629019	C1orf21	NM_030806
1	243256004	243500092	SDCCAG8	NM_001350251
1	209686179	209734950	HSD11B1	NM_001206741
1	6785453	7769706	CAMTA1	NM_015215
1	2073461	2185399	PRKCZ	NM_001350804
1	1033992	1056114	AGRN	NM_001364727
1	6264271	6393767	ACOT7	NM_007274
1	3069202	3438621	PRDM16	NM_022114
1	14598684	15118043	KAZN	NM_201628
1	12567909	12618210	DHRS3	NM_004753
1	10474949	10630758	PEX14	NM_004565
1	11479154	11537551	DISP3	NM_020780
1	15684319	15734769	PLEKHM2	NM_015164
1	23019467	23083689	KDM1A	NM_001009999
1	18871429	18890891	ALDH4A1	NM_001161504
1	20806291	21176897	EIF4G3	NM_001198801
1	17755332	17827063	ACTL8	NM_030812
1	19920008	19923617	PLA2G2E	NM_014589
1	27234631	27308636	WDTC1	NM_001276252
1	37715975	37765120	EPHA10	NM_001099439
1	39838109	39883504	TRIT1	NM_017646
1	48532853	50023954	AGBL4	NM_001323574
1	48222715	48248638	SLC5A9	NM_001135181
1	46040139	46176488	P3R3URF-PIK3R3	NM_001303427
1	45016398	45206605	ZSWIM5	NM_020883
1	47183581	47190036	PDZK1IP1	NM_005764
1	46040139	46132629	PIK3R3	NM_003629
1	56994777	58546726	DAB1	NM_001379461
1	51354262	51519266	EPS15	NM_001981
1	52423275	52553092	TUT4	NM_001009881
1	65792894	66374574	PDE4B	NM_002600
1	64833228	65067746	JAK1	NM_001321853
1	63774016	64181496	ROR1	NM_005012
1	61742479	62163915	PATJ	NM_001350145
1	68125359	68232523	WLS	NM_024911
1	74198241	74544426	FPGT-TNNI3K	NM_001112808
1	74235386	74544426	TNNI3K	NM_015978
1	78620447	78646145	IFI44L	NM_001375646
1	77562415	77683398	ZZZ3	NM_001376146
1	81306258	81993932	ADGRL2	NM_001366004
1	76074745	76634603	ST6GALNAC3	NM_001349106
1	85729232	86156772	COL24A1	NM_152890
1	86914634	87109982	HS2ST1	NM_012262
1	84925582	84997113	MCOLN2	NM_001330647
1	97077743	97921034	DPYD	NM_000110
1	111139382	111185104	CEPT1	NM_001007794
1	116373866	116404776	ATP1A1	NM_001160233
1	148952456	149033019	PDE4DIP	NM_001350520
1	145738867	145824095	RNF115	NM_014455
1	149937811	150010726	OTUD7B	NM_020205
1	155185823	155192909	MUC1	NM_001371720
1	156212987	156240077	PMF1	NM_001199654
1	153992691	154155116	NUP210L	NM_207308
1	156212987	156243332	PMF1-BGLAP	NM_001199662
1	165662215	165698562	ALDH9A1	NM_001365774
1	164559183	164851831	PBX1	NM_002585
1	162497817	162529631	UHMK1	NM_175866
1	169849630	169893896	SCYL3	NM_020423
1	171841497	172412717	DNM3	NM_001350204
1	175067832	175148068	TNN	NM_022093
1	179293713	179358679	SOAT1	NM_001252511
1	183472498	183554191	SMG7	NM_001350220
1	177170957	177282422	BRINP2	NM_021165
1	182450145	182560597	RGSL1	NM_001366934
1	180288229	180502577	ACBD6	NM_032360
1	178094103	178478850	RASAL2	NM_170692
1	198156997	198322418	NEK7	NM_133494
1	197084126	197146669	ASPM	NM_018136
1	206507530	206589447	RASSF5	NM_182663
1	202348698	202592702	PPP1R12B	NM_001331029
1	207496156	207641765	CR1	NM_000651
1	204422637	204494805	PIK3C2B	NM_002646
1	205504668	205532789	CDK18	NM_212503
1	216503250	217076992	ESRRG	NM_001243509
1	211743456	211830338	LPGAT1	NM_001320808
1	210678313	211134148	KCNH1	NM_172362
1	212858274	212899363	FLVCR1	NM_014053
1	215622890	216423448	USH2A	NM_206933
1	223220832	223364176	SUSD4	NM_017982
1	224385146	224434797	WDR26	NM_025160
