name	name2	chrom	cdsStart	cdsEnd
NM_213590	TRIM13	chr13	50586076	50587300
NM_198318	PRMT1	chr19	50180537	50191502
NM_020466	LYRM2	chr6	90346991	90348435
NM_020465	NDRG4	chr16	58521682	58545480
NM_206880	OR2V2	chr5	180581942	180582890
NM_020464	NHSL1	chr6	138745217	138893048
NM_001193342	SLC13A3	chr20	45188660	45242181
NM_198187	ASTN2	chr9	119187868	119414034
NM_198186	ASTN2	chr9	119188129	119449084
NM_198184	OSTN	chr3	190930321	190967910
NM_198183	UBE2L6	chr11	57319830	57322021
NM_198182	GRHL1	chr2	10091962	10140835
NM_198181	GOLGA6L9	chr15	82722284	82728611
NM_016511	CLEC1A	chr12	10223931	10251521
NM_016510	SCLY	chr2	238969671	239006996
NM_001146266	GPR85	chr7	112723663	112724776
NM_001164384	STAU2	chr8	74464240	74650536
NM_001095	ASIC1	chr12	50452549	50475432
NM_005313	PDIA3	chr15	44038737	44063416
NM_005035	POLRMT	chr19	617273	633512
NM_004627	WRB	chr21	40752310	40768865
NM_004934	CDH18	chr5	19473334	19839095
NM_012071	COMMD3	chr10	22605346	22608927
NM_012069	ATP1B4	chrX	119496023	119513489
NM_032862	TIGD5	chr8	144680073	144682002
NM_006292	TSG101	chr11	18502092	18548363
NM_006302	MOGS	chr2	74688401	74692374
NM_006291	TNFAIP2	chr14	103592794	103601697
NM_152570	LINGO2	chr9	27948848	27950669
NM_194280	TMEM219	chr16	29974464	29982866
NM_194278	ELMSAN1	chr14	74186003	74206711
NM_001115007	LIN54	chr4	83849254	83905997
NM_001114759	ZNF683	chr1	26688141	26695062
NM_001130404	PRR20B	chr13	57722008	57723695
NM_001130404	PRR20B	chr13	57728581	57730268
NM_001130404	PRR20B	chr13	57735152	57736839
NM_001130404	PRR20B	chr13	57741717	57743404
NM_001130080	IFI27	chr14	94578028	94582864
NM_001142597	CLP1	chr11	57426948	57428908
NM_001142596	P4HA1	chr10	74767979	74834641
NM_198435	AURKA	chr20	54945213	54963253
NM_001017415	USP1	chr1	62905538	62916652
NM_001160033	SGOL2	chr2	201397698	201448179
NM_001160011	ST6GALNAC3	chr1	76540551	77042540
